t,s,Solar,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
5043,Avg,0.0,0.0,0.8185139252837251,3.1949923008587544,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7366625327553525,-0.0,0.0
5044,Avg,0.0,0.0,0.804610453065511,2.3903818477932433,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7241494077589599,-0.0,0.0
5045,Avg,0.0,0.0,0.797581713139079,1.5928001346541645,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.717823541825171,-0.0,0.0
5046,Avg,0.0,0.0,0.7964000673270822,0.7964000673270822,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.716760060594374,-0.0,0.0
5047,Avg,0.4168358003844782,0.0,0.34172675997391705,0.4546733073531652,0.0,0.0,0.0,0.0,11.937316141530099,0.041683580038447826,0.7243898843610035,-0.0,0.0
5048,Avg,0.7302866588105921,0.0,0.0,0.4546733073531652,0.0,0.0,0.0,0.0,11.937316141530099,0.0730286658810592,0.7302866588105921,-0.0,0.0
5049,Avg,1.9649467915756282,1.227033047432032,0.0,1.6817063547851971,0.0,0.0,0.0,0.0,11.937316141530099,0.19649467915756283,0.7379137441435963,-0.0,0.0
5050,Avg,0.0,0.0,0.8408531773925986,0.8408531773925986,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7567678596533387,-0.0,0.0
5051,Avg,2.3446196085760636,1.575019912382103,0.0,2.4158730897747014,0.0,0.0,0.0,0.0,11.937316141530099,0.23446196085760637,0.7695996961939607,-0.0,0.0
5052,Avg,3.422685072045882,2.6483255990435306,0.0,5.064198688818232,0.0,0.0,0.0,0.0,11.937316141530099,0.34226850720458823,0.7743594730023516,-0.0,0.0
5053,Avg,3.313844613056602,2.5357534554882686,0.0,7.599952144306501,0.0,0.0,0.0,0.0,11.937316141530099,0.33138446130566024,0.7780911575683332,-0.0,0.0
5054,Avg,2.9132190937981868,2.1402789298789204,0.0,9.740231074185422,0.0,0.0,0.0,0.0,11.937316141530099,0.29132190937981867,0.7729401639192665,-0.0,0.0
5055,Avg,2.2509133220761823,1.4787329681635484,0.0,11.21896404234897,0.0,0.0,0.0,0.0,11.937316141530099,0.22509133220761823,0.772180353912634,-0.0,0.0
5056,Avg,1.4566095468990934,0.6920071550332019,0.0,11.910971197382173,0.0,0.0,0.0,0.0,11.937316141530099,0.14566095468990933,0.7646023918658915,-0.0,0.0
5057,Avg,0.6692530350617456,0.0,0.08289285941759927,11.828078337964573,0.0,0.0,0.0,0.0,11.937316141530099,0.06692530350617457,0.743856608537585,-0.0,0.0
5058,Avg,0.14589253013456738,0.0,0.6423480636813178,11.185730274283255,0.0,0.0,0.0,0.0,11.937316141530099,0.01458925301345674,0.7240057874477533,-0.0,0.0
5059,Avg,0.0,0.0,0.815661788149504,10.370068486133752,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7340956093345535,-0.0,0.0
5060,Avg,0.0,0.0,0.8790114477432459,9.491057038390506,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7911103029689213,-0.0,0.0
5061,Avg,0.0,0.0,0.903171266699173,8.587885771691333,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8128541400292557,-0.0,0.0
