t,s,Coal,Solar,Wind,Storage injection,Storage generation,unmet,surplus,Load
1801,Avg,0.25879022918312267,0.0,0.390790830495477,0.0,0.0,0.0,0.0,0.6495810596785997
1802,Avg,0.25879022918312267,0.0,0.37657840211025595,0.0,0.0,0.0,0.0,0.6353686312933786
1803,Avg,0.25879022918312267,0.0,0.3632986382469797,0.0,0.0009130027195830559,0.0,0.0,0.6229105698777272
1804,Avg,0.2629304330398759,0.0,0.3470345693957277,0.0,0.0066504868344247625,0.0,0.0,0.6159504405865859
1805,Avg,0.26146283737598536,0.0,0.3525236925832362,0.0,0.0033252434172123813,0.0,0.0,0.6169792490347127
1806,Avg,0.28172168892340677,0.0,0.35658971012797636,0.0,0.0016626217086061906,0.0,0.0,0.6398077585891286
1807,Avg,0.35509356132946446,0.0374152461106274,0.29072023121402024,0.0,0.0008313108543030953,0.0,0.0,0.6839772184229849
1808,Avg,0.3677982946497146,0.12739736692213624,0.22485075230006424,0.0,0.00041565542715154766,0.0,0.0,0.7204205037563515
1809,Avg,0.3305006603676978,0.20516541978844033,0.19618533076717262,0.0,0.00020782771357577383,0.0,0.0,0.732038455865529
1810,Avg,0.3730125965829118,0.25958759594935293,0.12259041918206462,0.0,0.00010391385678788691,0.0,0.0,0.7552841341854384
1811,Avg,0.3908613496385702,0.2929830222299129,0.08843587446166455,0.0,5.195692839394346e-05,0.0,0.0,0.7723270075657023
1812,Avg,0.39586398818207613,0.3084438677301722,0.07176520385593854,0.0,2.597846419697173e-05,0.0,0.0,0.7760964403859641
1813,Avg,0.3912063626707302,0.3084438677301721,0.06790248735439898,0.0,1.2989232098485864e-05,0.0,0.0,0.7675644080641899
1814,Avg,0.377998384601837,0.2929830222299129,0.06810578806567245,0.0,6.494616049242932e-06,0.0,0.0,0.7390930400518667
1815,Avg,0.4139451604186639,0.25494934229927513,0.06932559332909446,0.0,3.247308024621466e-06,0.0,0.0,0.7382230186242557
1816,Avg,0.4685176445985405,0.19078683347319922,0.07705102633217357,0.0,1.623654012310733e-06,0.0,0.0,0.7363569656925244
1817,Avg,0.5221235148639273,0.1020415803017111,0.10246363382927305,0.0,8.118270061553665e-07,0.0,0.0,0.7266294596392169
1818,Avg,0.4854190654743704,0.015306237045256662,0.2104163908460546,0.0,4.0591350307768326e-07,0.0,0.0,0.7111420586878344
1819,Avg,0.35143210537258424,0.0,0.36085902805206277,0.0,2.0295675153884163e-07,0.0,0.0,0.7122913160857234
1820,Avg,0.30945241583203853,0.0,0.41859647220846574,0.0,1.0147837576942081e-07,0.0,0.0,0.7280489793710425
1821,Avg,0.25879022918312267,0.0,0.438821734519403,0.0,0.0,0.0,0.0,0.6976119637025257
1822,Avg,0.25879022918312267,0.0,0.41635591643069136,0.0,5.073918788471041e-08,0.0,0.0,0.6751461912790832
1823,Avg,0.25879022918312267,0.0,0.4022991381675144,0.0,2.5369593942355204e-08,0.0,0.0,0.6610893901832716
1824,Avg,0.25879022918312267,0.0,0.3905420429167443,0.0,1.2684796971177602e-08,0.0,0.0,0.6493322835161842
1825,Avg,0.25879022918312267,0.0,0.37408423105623334,0.0,6.342398485588801e-09,0.0,0.0,0.6328744659475146
1826,Avg,0.25879022918312267,0.0,0.37372961353493206,0.014213970046034096,0.0,0.0,0.0,0.6183058726720206
1827,Avg,0.25879022918312267,0.0,0.3469075159105838,0.0,0.0,0.0,0.0,0.6056977450937064
1828,Avg,0.25879022918312267,0.0,0.3379872579602474,0.0,0.0,0.0,0.0,0.5967774871433701
1829,Avg,0.25879022918312267,0.0,0.3392303804368598,0.0,0.0,0.0,0.0,0.5980206096199825
1830,Avg,0.25879022918312267,0.0,0.36556463271830153,0.0,0.0,0.0,0.0,0.6243548619014242
1831,Avg,0.2874088221859939,0.03617837847060666,0.32873749210403275,0.0,0.0071069881942162905,0.0,0.0,0.658720982135428
1832,Avg,0.30610041572058627,0.1229137217270611,0.26327461494455073,0.0,0.0035534940971081452,0.0,0.0,0.6954868970795954
1833,Avg,0.2720933917815655,0.2056292451534481,0.2299332737330987,0.0,0.0017767470485540726,0.0,0.0,0.709254983011811
1834,Avg,0.36495788467781054,0.2744300076296018,0.09697451030983746,0.0,0.0008883735242770363,0.0,0.0,0.7371619387890992
1835,Avg,0.4182054973703252,0.31447359747527326,0.020939988529812464,0.0,0.00044418676213851815,0.0,0.0,0.7540188514613356
1836,Avg,0.41416831920418906,0.3341088712606025,0.0016264066859689311,0.0,0.00022209338106925908,0.0,0.0,0.7501034811937228
1837,Avg,0.4092790485262734,0.32746070769549107,0.0006099024657474599,0.0,0.00011104669053462954,0.0,0.0,0.737449600708993
1838,Avg,0.40190833580878416,0.30380561408009443,0.001219805263422035,0.0,5.552334526731477e-05,0.0,0.0,0.7069837261630412
1839,Avg,0.4396835309946282,0.25835072830933214,0.0028462119493909664,0.0,2.7761672633657385e-05,0.0,0.0,0.7009054567587216
1840,Avg,0.4939640990334435,0.18970457428818108,0.008335335136899451,0.0,1.3880836316828692e-05,0.0,0.0,0.6920165012112092
1841,Avg,0.5539132386938795,0.10095932111669294,0.02195649308196105,0.0,6.940418158414346e-06,0.0,0.0,0.6768352992688761
1842,Avg,0.5648688064845064,0.014997020135251478,0.08396325549437754,0.0,3.470209079207173e-06,0.0,0.0,0.6638322053023068
1843,Avg,0.4342619576102672,0.0,0.23237288425994274,0.0,1.7351045396035865e-06,0.0,0.0,0.6666364034642955
1844,Avg,0.3262553354547288,0.0,0.3576062143481978,0.0,8.675522698017933e-07,0.0,0.0,0.6838623305999694
1845,Avg,0.25879022918312267,0.0,0.3907560622225219,0.0,4.3377613490089663e-07,0.0,0.0,0.649546681804166
1846,Avg,0.25879022918312267,0.0,0.36920878711725147,0.0,2.1688806745044832e-07,0.0,0.0,0.6279992114996349
1847,Avg,0.25879022918312267,0.0,0.3623197019215082,0.0,1.0844403372522416e-07,0.0,0.0,0.6211100287042612
